latr,lonr,index,"País","nomdep","nomprov","nomdist","AsientoElectoral","nombrerecinto","DIRECCIÓN RECINTO ELECTORAL",CANTIDAD DE MESAS,Habilitados,latitud,longitud,dif,Inscritos,"Recinto",num_rec,"nombremunicipio",id_rec,density,x,y
-51.5,-69.25,63,"Argentina","Santa Cruz","Güer Aike","Güer Aike","Río Gallegos","Pastoral de Rio Gallegos","Errazuriz 53,  Río Gallegos, Santa Cruz, Argentina",4,864,-51.6230485,-69.2168291,0,864,"Pastoral de Rio Gallegos",4,"Güer Aike",1101192438426096,1.3824,184.595,3.799527577528661
-47.75,-66,28,"Argentina","Santa Cruz","Deseado","Deseado","Puerto Deseado","Escuela N°56 Krewen Kau","Av. 12 de Octubre 1301, esq Venezuela y Patagonia",1,234,-47.7458554,-65.8879889,0,234,"Escuela N°56 Krewen Kau",1,"Deseado",1101192438326095,0.3744,345.196,3.5844123934805787
-45.75,-67.5,92,"Argentina","Chubut","Escalante","Comodoro Rivadavia","Comodoro Rivadavia","Centro Cultural de Comodoro Rivadavia","Avenida Rivadavia, 9 de Julio y, U9000 Comodoro Rivadavia, Chubut, Argentina",8,1796,-45.8632312,-67.4761418,-237,2033,"Centro Cultural de Comodoro Rivadavia",9,"Comodoro Rivadavia",1101185407325303,2.8736,178.577,12.18519362131412
-42.75,-65,77,"Argentina","Chubut","Biedma","Puerto Madryn","Puerto Madryn","Centro de Residentes Bolivianos \"Wiñay\"","325, América 299, U9120 Puerto Madryn, Chubut, Argentina",6,1270,-42.7590766,-65.0504149,-238,1508,"Centro de Residentes Bolivianos \"Wiñay\"",7,"Puerto Madryn",1101185437226084,2.032,216.337,17.719754919484842
-40.75,-63,69,"Argentina","Rio Negro","Adolfo Alsina","Viedma","Viedma","Universidad Nacional De Rio Negro","Calle Colón 460, Viedma, Río Negro, Argentina",5,1095,-40.8119087,-62.9962044,0,1095,"Universidad Nacional De Rio Negro",5,"Viedma",1101123376625091,1.752,267.784,17.348951099458336
-38.75,-68,59,"Argentina","Neuquén","Confluencia","Centenario","Centenario","Centro de Formación Profesional N° 29
Darrieux 470","Juan B Darrieux entre Islas malvinas y primeros pobladores",4,789,-38.8289063,-68.1227342,0,789,"Centro de Formación Profesional N° 29 Darrieux 470",4,"Centenario",1101189437926091,1.2624,129.154,36.54450789477958
-38,-57.75,66,"Argentina","Buenos Aires","General Pueyrredón","General Pueyrredón","Mar del Plata","Escuela Formación Profesional N°7 Batan","N 44, Batán, Buenos Aires, Argentina",3,728,-38.010832,-57.707573,-253,981,"Escuela Formación Profesional N°7 Batan",4,"General Pueyrredón",1101110436926081,1.1648,576.411,5.468798201592221
-37,-56.75,76,"Argentina","Buenos Aires","Pinamar","Pinamar","Pinamar","Escuela Primaria N 7 de Ostende Pinamar","Calle Misiones, Ostende, Pinamar",6,1226,-37.1050711,-56.8717377,-238,1464,"Escuela Primaria N 7 de Ostende Pinamar",7,"Pinamar",1101110437126083,1.9616,743.534,9.471308543318395
-36.5,-64.25,13,"Argentina","La Pampa","Capital","Santa Rosa","Santa Rosa","Centro Municipal de Cultura","Calle Quintana 172, L6300ARD Santa Rosa, La Pampa, Argentina",1,125,-36.6187881,-64.2932064,0,125,"Centro Municipal de Cultura",1,"Santa Rosa",1101196439126103,0.2,178.4,49.602876699394855
-35,-58,96,"Argentina","Buenos Aires","La Plata","La Plata","La Plata","Escuela Primaria N°5 Cnl. De Marina Tomas Espora","Plaza Adolfo Alsina 85 Esq 37 y 38 / Diagonal 74, La Plata, Buenos Aires, Argentina",10,2166,-34.9001983,-57.9567849,0,2166,"Escuela Primaria N°5 Cnl. De Marina Tomas Espora",10,"La Plata",1101110414025187,11.7904,662.84,69.18393373536911
-35,-58,113,"Argentina","Buenos Aires","La Plata","La Plata","La Plata","Escuela Primaria N°102 Dr. Dardo Rocha","Calle 7 Esq. cerca al monumento Juan Bautista Cabral, La Plata, Buenos Aires, Argentina",11,2451,-34.9168208,-57.9416072,-240,2691,"Escuela Primaria N°102 Dr. Dardo Rocha",12,"La Plata",1101110414025188,11.7904,668.343,66.59977373864339
-35,-58,114,"Argentina","Buenos Aires","La Plata","La Plata","La Plata","Escuela Secundaria Nº34 Almafuerte","Calle 58 Esq. 8 y 9 / Diagonal 73 y botonda Dardo Rocha, La Plata, Buenos Aires, Argentina",12,2752,-34.9205835,-57.9454487,0,2752,"Escuela Secundaria Nº34 Almafuerte",12,"La Plata",1101110414025064,11.7904,667.135,66.15585783668571
-35,-56.25,21,"Uruguay","Montevideo","Montevideo","Montevideo","Montevideo","Embajada","Dr Prudencio de Pena 2469, 11600
Montevideo, Departamento de Montevideo, Uruguay",1,202,-34.913503,-56.1761849,0,202,"Embajada",1,"Montevideo",1123349379225117,0.3232,863.774,53.98015512902415
-34.75,-68.25,51,"Argentina","Mendoza","San Rafael","San Rafael","Salto de las Rosas","Escuela “Pedro Goyena”","Sarmiento N 351, Salto de las Rosas, Distrito Cañada Seca, Mendoza, Argentina",3,557,-34.7238482,-68.2289446,0,557,"Escuela “Pedro Goyena”",3,"San Rafael",1101111414625151,0.8912,151.771,52.20770633064688
-34.75,-60.5,35,"Argentina","Buenos Aires","Chacabuco","Chacabuco","Chacabuco","Escuela de Educación Primaria N 12 Hipolito Yrigoye","Calle Entre Ríos 199 esq. Cnl Jose V de Olavarria, Chacabuco, Buenos Aires, Argentina",2,316,-34.643309,-60.463137,0,316,"Escuela de Educación Primaria N 12 Hipolito Yrigoye",2,"Chacabuco",1101110436826080,0.5056,190.194,91.52458570590804
-34.75,-58.75,85,"Argentina","Buenos Aires","La Matanza","La Matanza","González Catán","Escuela Secundaria Nº51","Atalco 4551 y Tinogasta, Buenos Aires, Argentina",8,1702,-34.7668797,-58.6285719,0,1702,"Escuela Secundaria Nº51",8,"La Matanza",1101110413425183,6.0288,387.267,97.13993411340934
-34.75,-58.75,94,"Argentina","Buenos Aires","Ituzaingó","Ituzaingó","Ituzaingó","Esc Primaria Nro 3 Jose Manuel Estrada","Avenida Nestor Carlos Kirchner entre calle gomensoro  y Camacua  (24 de Octubre)",9,2066,-34.661142,-58.670223,0,2066,"Esc Primaria Nro 3 Jose Manuel Estrada",9,"Ituzaingó",1101110412925192,6.0288,373.874,116.48210014682286
-34.75,-58.5,38,"Argentina","Buenos Aires","José M. Ezeiza","José M. Ezeiza","Carlos Spegazzini","Escuela N24 Rene Gerónimo Favaloro","B. Matienzo 701-749, Tristán Suárez, Buenos Aires, Argentina",2,386,-34.8643528,-58.5164371,0,386,"Escuela N24 Rene Gerónimo Favaloro",2,"José M. Ezeiza",1101110437026082,124.3232,429.184,82.08495994532294
-34.75,-58.5,75,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Escuela de Jornada Completa Nº 16 D.E. 05 Sabina Bove de Bozalla","Av.Amacio Alcorta esq Pepiri 3402, Buenos Aires, Argentina",6,1378,-34.6521374,-58.4071518,0,1378,"Escuela de Jornada Completa Nº 16 D.E. 05 Sabina Bove de Bozalla",6,"C.A. Buenos Aires",1101110361125189,124.3232,475.148,117.65148744841964
-34.75,-58.5,78,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Escuela De Jornada Simple Nº 07 D.E. 18 Republica Arabe de Egipto","Av Rivadavia 9799, Capital Federal Villa Luro, moliere y Rivadavia",7,1523,-34.6374391,-58.5019443,0,1523,"Escuela De Jornada Simple Nº 07 D.E. 18 Republica Arabe de Egipto",7,"C.A. Buenos Aires",1101110361125167,124.3232,435.978,121.66295717242002
-34.75,-58.5,87,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield","Fonrouge 370, Capital Federal Liniers plaza martin garcia de Cosio y Gaaguazu",8,1765,-34.6314852,-58.4923493,0,1765,"Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield",8,"C.A. Buenos Aires",1101110361125163,124.3232,439.893,122.72407125982448
-34.75,-58.5,88,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Escuela de Educacion Media N° 4  De 19 Homero Manzi","Av. Saenz 631 entre Famatina y Dekay, Buenos Aires, Argentina",8,1881,-34.6469727,-58.4163299,0,1881,"Escuela de Educacion Media N° 4  De 19  Homero Manzi",8,"C.A. Buenos Aires",1101110361125190,124.3232,471.319,118.76084347435436
-34.75,-58.5,91,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Escuela Técnica N° 17  DE  13  Brigadier General Cornelio Saavedra","Av. Lacarra 535, entre Av. Jose Enrique Rodo y Jose Bonifacio, Buenos Aires, Argentina",9,1978,-34.63997,-58.481677,0,1978,"Escuela Técnica N° 17  DE  13  Brigadier General Cornelio Saavedra",9,"C.A. Buenos Aires",1101110361125165,124.3232,444.253,120.94609087206655
-34.75,-58.5,95,"Argentina","Buenos Aires","La Matanza","La Matanza","Gregorio de Laferrere","Anexo Escuela Secundaria Nº 23","Santa Catalina 5909 esq Osvado Magnaso, Buenos Aires, Argentina",10,2161,-34.751359,-58.591917,0,2161,"Anexo Escuela Secundaria Nº 23",10,"La Matanza",1101110413225181,124.3232,401.194,99.5620096162073
-34.75,-58.5,101,"Argentina","Buenos Aires","La Matanza","La Matanza","Villa Celina","Escuela Primaria Nº139 Congreso De Tucuman","Unanue 10 Av.Boulogne sur mer",10,2386,-34.7066418,-58.483539,0,2386,"Escuela Primaria Nº139 Congreso De Tucuman",10,"La Matanza",1101110413025178,124.3232,443.111,108.0836907575111
-34.75,-58.5,103,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Escuela Nº 13 D.E. 19 “Presbítero Alberti”","Itaqui 2050 entre Charrua y Matanza, C1437 GVH, Buenos Aires, Argentina",11,2487,-34.6532397,-58.431682,0,2487,"Escuela Nº 13 D.E. 19 “Presbítero Alberti”",11,"C.A. Buenos Aires",1101110361125168,124.3232,464.959,117.74972949788685
-34.75,-58.5,105,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Colegio Nº 18 Dr. Alberto Larroque","Moron 4149 Sanabria y Gualeguaychu",11,2553,-34.6352837,-58.4805118,0,2553,"Colegio Nº 18 Dr. Alberto Larroque",11,"C.A. Buenos Aires",1101110361125158,124.3232,444.759,121.83669796318587
-34.75,-58.5,108,"Argentina","Buenos Aires","La Matanza","La Matanza","Isidro Casanova","Isidro Casanova - Escuela Secundaria Nº76","Isidro Casanova",11,2608,-34.7115951,-58.5907306,0,2608,"Isidro Casanova - Escuela Secundaria Nº76",11,"La Matanza",1101110413125179,124.3232,402.286,107.11606760126998
-34.75,-58.5,112,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Escuela N° 3 De 20 Republica Francesa","Montiel 153, Capital Federal Liniers, ibarrola y Lorenzo Falcon",12,2634,-34.6409934,-58.5264647,0,2634,"Escuela N° 3 De 20 Republica Francesa",12,"C.A. Buenos Aires",1101110361125173,124.3232,426.977,120.87602983635603
-34.75,-58.5,115,"Argentina","Buenos Aires","La Matanza","La Matanza","San Justo","Anexo I De Escuela Secundaria Nº11","Hipolito Yrigoien 2462, entre Av. Dr, Ignacio Arieta y Almafuerte, Buenos Aires, Argentina",12,2799,-34.6788634,-58.5582764,0,2799,"Anexo I De Escuela Secundaria Nº11",12,"La Matanza",1101110413325182,124.3232,414.827,113.47483332337785
-34.75,-58.5,116,"Argentina","Buenos Aires","La Matanza","La Matanza","Villa Celina","Escuela Primaria Nº 97 Juana Manso De Noronha","Avelino Diaz  500 y W.J. Mollins",12,2814,-34.7066418,-58.483539,0,2814,"Escuela Primaria Nº 97 Juana Manso De Noronha",12,"La Matanza",1101110413025176,124.3232,443.111,108.0836907575111
-34.75,-58.5,119,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Escuela N° 4 De 11 Benjamín Zorrila","Calle San Pedrito1415, Av. Lafuente y Crisostomo Alvarez, Buenos Aires, Argentina",12,2704,-34.644897,-58.4533288,-236,2940,"Escuela N° 4 De 11 Benjamín Zorrila",13,"C.A. Buenos Aires",1101110361125164,124.3232,455.977,119.63217050313817
-34.75,-58.5,120,"Argentina","Buenos Aires","Lomas de Zamora","Lomas de Zamora","Ingeniero Budge","Escuela EGB Nro. 12 Primera Junta","Quesada 2610",12,2702,-34.7165481,-58.4494698,-238,2940,"Escuela EGB Nro. 12 Primera Junta",13,"Lomas de Zamora",1101110413625062,124.3232,457.493,105.76965324387412
-34.75,-58.5,122,"Argentina","Buenos Aires","La Matanza","La Matanza","Gregorio de Laferrere","Escuela Primaria Nº 19","Monseñor López May 3250, entre Ricardo Gutierrez y Olegario Victor, Buenos Aires, Argentina",13,3036,-34.7507214,-58.5869096,0,3036,"Escuela Primaria Nº 19",13,"La Matanza",1101110413225180,124.3232,403.084,99.66644230571542
-34.75,-58.5,123,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia","Calle Homero 2169 entre Echeanda y Zuvina, Buenos Aires, Argentina",13,3069,-34.6587631,-58.4751589,0,3069,"Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia",13,"C.A. Buenos Aires",1101110361125059,124.3232,446.866,117.23240764022955
-34.75,-58.5,124,"Argentina","Buenos Aires","Esteban Echeverría","Esteban Echeverría","Nueve de Abril","Esc. Secundaria Basica Nº4","Guamini 5348 entre Av. De Mayo y Salta, Buenos Aires, Argentina",13,3081,-34.7616857,-58.4995083,0,3081,"Esc. Secundaria Basica Nº4",13,"Esteban Echeverría",1101110413525061,124.3232,435.994,98.06165610581839
-34.75,-58.5,126,"Argentina","Buenos Aires","Esteban Echeverría","Esteban Echeverría","Nueve de Abril","Escuela De Educación Primaria N°16 República Francesa","Av. Dr. Gilberto Elizalde 3971, entre Av Olimpo y Homero, Buenos Aires , Argentina",13,3088,-34.762396,-58.4994326,0,3088,"Escuela De Educación Primaria N°16 República Francesa",13,"Esteban Echeverría",1101110413525185,124.3232,436.025,97.9501168841326
-34.75,-58.5,127,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi","Av. Jose ignacio Rucci 3961, entre Aquino y Zelarrayan, Buenos Aires, Argentina",12,2854,-34.6765937,-58.4806061,-238,3092,"Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi",13,"C.A. Buenos Aires",1101110361125172,124.3232,444.506,113.85529460275949
-34.75,-58.5,130,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento","Calle Mariano Acosta esq. Mariano Acosta 3420, Buenos Aires, Argentina",13,2910,-34.6788622,-58.4585254,-237,3147,"Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento",14,"C.A. Buenos Aires",1101110361125169,124.3232,453.743,113.1460363846995
-34.75,-58.5,133,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón","Av. Larrazabal  4051, entre Sayos yJose Ballivian y Ordoñez, Buenos Aires, Argentina",14,3288,-34.6766933,-58.472315,0,3288,"Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón",14,"C.A. Buenos Aires",1101110361125191,124.3232,447.976,113.73406676067464
-34.75,-58.5,137,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Escuela N° 22 De 11 Hipólito Bouchard","Avelino Díaz 2356 entre Esteban Bonorino y Rivera Indarte",13,3017,-34.643007,-58.4498144,-472,3489,"Escuela N° 22 De 11 Hipólito Bouchard",15,"C.A. Buenos Aires",1101110361125057,124.3232,457.436,119.95169498791677
-34.75,-58.5,140,"Argentina","Buenos Aires","Buenos Aires","C.A. Buenos Aires","C.A. Buenos Aires","Escuela N° 12 De 19 José Enrique Rodo","Jose Hernandez entre Pres Camilo Torres-Tenorio y Alfonsina Storni",16,3635,-34.6461495,-58.4407415,0,3635,"Escuela N° 12 De 19 José Enrique Rodo",16,"C.A. Buenos Aires",1101110361125160,124.3232,461.194,119.23023302755493
-34.75,-58.5,146,"Argentina","Buenos Aires","Lomas de Zamora","Lomas de Zamora","Villa Albertina","Extensión de Escuela Secundaria Nº33 (Escuela Secundaria 33)","Homero 3780, Cañuelas y Cayafate/ a dos cuadras del Arroyo Epecuen",18,4240,-34.8383082,-58.450707,0,4240,"Extension De Escuela Secundaria Nº33",18,"Lomas de Zamora",1101110413725184,124.3232,456.846,85.62580633693042
-34.75,-58.5,149,"Argentina","Buenos Aires","La Matanza","La Matanza","Villa Celina","Escuela Secundaria N° 10  (Escuela Primaria Jose Antonio Wilde 137)","Martin Ugarte entre Olavarria y Lacarra",19,4534,-34.6988465,-58.488696,0,4534,"Escuela Secundaria Nº10",19,"La Matanza",1101110413025060,124.3232,440.981,109.65213672723428
-34.75,-58.5,153,"Argentina","Buenos Aires","La Matanza","La Matanza","Villa Celina","Escuela de Educación Primaria  Nº 138 Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)","Av. San Martin 7200 E/ Chavez y Loberia",26,6191,-34.7026977,-58.4896985,0,6191,"Escuela De Educación Primaria  Nº 138 Comandante Luis Piedrabuena",26,"La Matanza",1101110413025177,124.3232,440.534,108.91944294262942
-34.75,-58.25,109,"Argentina","Buenos Aires","Berazategui","Berazategui","12 de Octubre","Escuela Secundaria Nº6 Juan Domingo Peron","Calle 101 entre calle 8 y 9 esq./ a dos cuadras de la Autopista Manuel Belgrano/ Cementerio",10,2375,-34.7862063,-58.2553167,-236,2611,"Escuela Secundaria Nº6 Juan Domingo Peron",11,"Berazategui",1101110413825063,8.4656,540.89,91.6073411737604
-34.75,-58.25,117,"Argentina","Buenos Aires","Quilmes","Quilmes","Ezpeleta","Esc Primaria Nro 52 Gral. Bartolome Mitre.","Minuto Esq. Ecuador y Baradero 4703/8 cuadras de la Av.Florencio Varela, Buenos Aires, Argentina",13,2916,-34.748497,-58.238205,0,2916,"Esc Primaria Nro 52 Gral. Bartolome Mitre.",13,"Quilmes",1101110413925186,8.4656,547.624,97.08958252334465
-34.5,-59,134,"Argentina","Buenos Aires","Pilar","Pilar","Pilar","Escuela De Educación Primaria Nº26 Lorenzo López","Belgrano 787 Esq Independencia y L Lopez, Pilar Centro, Buenos Aires, Argentina",15,3355,-34.4603216,-58.9139219,0,3355,"Escuela De Educación Primaria Nº26 Lorenzo López",15,"Pilar",1101110414225147,5.368,308.799,149.69487359852027
